Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,0.8182,0.8182,0.8182,0.7778,9
two tables single join,0.5833,0.5833,0.5833,0.5833,12
three tables two join,0.9231,0.8571,0.8889,0.8000,10
two tables single join multiple rows,0.9583,0.6571,0.7797,0.5000,8
single table multiple rows,0.9583,0.8214,0.8846,0.5000,10
