Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,0.7273,0.7273,0.7273,0.6667,9
two tables single join,0.6667,0.6667,0.6667,0.6667,12
three tables two join,0.8182,0.6429,0.7200,0.5000,10
two tables single join multiple rows,0.7241,0.6000,0.6562,0.3750,8
single table multiple rows,0.8462,0.7857,0.8148,0.5000,10
