question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl,#questions
single table single row,0.4545,0.5556,0.3333,1.0,1.0,1.0,10
two tables single join,0.5833,0.5833,0.4118,0.1429,0.1429,0.0769,12
three tables two join,0.8333,0.7143,0.625,0.3333,0.2857,0.1818,6
two tables single join multiple rows,1.0,1.0,1.0,0.0,0.0,0.0,1
single table multiple rows,1.0,0.5,0.5,1.0,0.5,0.5,2
