question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl
single table multiple rows,1.0,0.8929,0.8929,0.4194,0.1226,0.1048
single table single row,0.5455,0.6667,0.4286,0.6667,0.5,0.400
three tables two join,0.9167,0.7857,0.7333,0.4667,0.3333,0.2414
two tables single join,0.5,0.5455,0.3529,0.1667,0.1667,0.0909
two tables single join multiple rows,0.9615,0.7143,0.6944,0.0,0.0,0.0
