question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl,#questions
single table single row,0.4286,0.6667,0.3529,0.6667,0.5,0.4,9
two tables single join,0.5385,0.6364,0.4118,0.0,0.0,0.0,12
three tables two join,0.9231,0.8571,0.8,0.0,0.0,0.0,10
two tables single join multiple rows,0.9697,0.9143,0.8889,0.0,0.0,0.0,8
single table multiple rows,1.0,0.9643,0.9643,0.037,0.0089,0.0072,10
