Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8000,0.8889,0.8000,0.8182,0.8182,0.7000,10
two tables single join,0.1250,0.1818,0.0833,0.3125,0.1786,0.0000,12
three tables two join,0.2000,0.2000,0.2000,0.6000,0.2000,0.0000,5
single table multiple rows;0.7000,0.5833,0.0000,0.7273,0.6667,0.0000,3
