Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8889,0.8889,0.9000,0.7273,0.7273,0.5000,10
two tables single join,0.4000,0.5455,0.5000,0.6000,0.3214,0.0833,12
three tables two join,0.4000,0.4000,0.4000,0.6000,0.2000,0.0000,5
single table multiple rows,0.8333,0.8333,0.6667,1.0000,1.0000,1.0000,3
