Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8000,0.8889,0.8000,0.3333,0.2727,0.2000,10
two tables single join,0.3846,0.4545,0.4167,0.5000,0.2500,0.0000,12
three tables two join,0.4000,0.4000,0.4000,0.5000,0.1333,0.0000,5
single table multiple rows,1.0000,0.9167,0.6667,0.1818,0.1667,0.3333,3
