Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.5000,0.5556,0.5000,0.8000,0.7273,0.7000,10
two tables single join,0.1304,0.2727,0.1667,0.2609,0.2143,0.0000,12
three tables two join,0.0000,0.0000,0.0000,0.6000,0.2000,0.0000,5
single table multiple rows,0.5714,0.6667,0.0000,0.6667,0.8333,0.3333,3
