Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8000,0.8889,0.8000,0.8182,0.9000,0.7000,10
two tables single join,0.4615,0.5455,0.5000,0.4500,0.4091,0.1667,12
three tables two join,0.4000,0.4000,0.4000,0.9091,0.6667,0.2000,5
single table multiple rows,0.6667,0.6667,0.3333,0.0000,0.0000,0.0000,3
