question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl,#questions
single table single row,0.6667,0.8889,0.6154,1.0,1.0,1.0,9
two tables single join,0.4286,0.5455,0.3158,0.6667,0.6667,0.5,12
three tables two join,1.0,0.7143,0.7143,0.3636,0.25,0.1739,10
two tables single join multiple rows,1.0,1.0,1.0,0.2915,0.2915,0.1706,8
single table multiple rows,1.0,1.0,1.0,1.0,1.0,1.0,10
