question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl
single table multiple rows,1.0,1.0,1.0,0.8976000000000001,0.7368666666666667,0.7133333333333334
single table single row,0.75,1.0,0.75,1.0,1.0,1.0
three tables two join,1.0,1.0,1.0,0.0,0.0,0.0
two tables single join,0.5385,0.6364,0.4118,0.0,0.0,0.0
two tables single join multiple rows,1.0,0.9429,0.9429,0.1462,0.1295,0.0737
