question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl
single table multiple rows,1.0,1.0,1.0,1.0,1.0,1.0
single table single row,0.6945,0.9259,0.6603,1.0,1.0,1.0
three tables two join,1.0,0.7619,0.7619,0.47046666666666664,0.34723,0.2604
two tables single join,0.4286,0.5455,0.3158,0.6667,0.6667,0.5
two tables single join multiple rows,1.0,1.0,1.0,0.29822,0.2982,0.1752
