question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl,#questions
single table single row,0.6667,0.8889,0.6154,1.0,1.0,1.0,9
two tables single join,0.4286,0.5455,0.3158,0.6667,0.6667,0.5,12
three tables two join,1.0,0.8571,0.8571,0.6842,0.5417,0.4333,10
two tables single join multiple rows,1.0,1.0,1.0,0.3116,0.3116,0.1845,8
single table multiple rows,1.0,1.0,1.0,1.0,1.0,1.0,10
