Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8000,0.8889,0.8000,1.0000,0.8182,0.8000,10
two tables single join,0.4545,0.4545,0.5000,0.5714,0.2857,0.0833,12
three tables two join,0.4000,0.4000,0.4000,0.6000,0.2000,0.0000,5
single table multiple rows,0.8182,0.7500,0.3333,0.6875,0.9167,0.3333,3
