Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8000,0.8889,0.8000,0.5385,0.7000,0.5000,10
two tables single join,0.1818,0.3636,0.2500,0.3000,0.2727,0.1667,12
three tables two join,0.2000,0.2000,0.2000,0.6250,0.3333,0.0000,5
single table multiple rows,0.5714,0.6667,0.0000,0.0000,0.0000,0.0000,3
