Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8889,0.7273,0.8000,0.7273,0.6667,0.4000,10
two tables single join,0.5333,0.5714,0.5833,0.6667,0.3448,0.0833,12
three tables two join,0.4000,0.4000,0.4000,0.6000,0.2000,0.0000,5
two tables single join multiple rows,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1
single table multiple rows,0.5000,0.5000,0.5000,1.0000,1.0000,1.0000,2
