Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8000,0.8889,0.8000,0.9000,0.9000,0.8000,10
two tables single join,0.5833,0.6364,0.5000,0.5455,0.5455,0.1667,12
three tables two join,0.4000,0.4000,0.4000,0.8000,0.5333,0.0000,5
single table multiple rows,1.0000,0.4167,0.6667,0.0000,0.0000,0.0000,3
