Question Type,Answer Precision,Answer Recall,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation Accuracy,#Questions
single table single row,0.8000,0.8889,0.8000,0.7273,0.8000,0.6000,10
two tables single join,0.2143,0.2727,0.2500,0.4286,0.2727,0.0833,12
three tables two join,0.1667,0.2000,0.2000,0.6667,0.2667,0.0000,5
single table multiple rows,0.7273,0.6667,0.3333,0.0000,0.0000,0.0000,3
