question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl,#questions
single table single row,0.8,0.8889,0.7273,1.0,1.0,1.0,9
two tables single join,0.6154,0.7273,0.5,0.375,0.375,0.2308,12
three tables two join,0.7857,0.7857,0.6471,0.8462,0.7586,0.6667,10
two tables single join multiple rows,1.0,0.9714,0.9714,0.6364,0.5864,0.4392,8
single table multiple rows,1.0,1.0,1.0,1.0,0.9649,0.9649,10
