question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl,#questions
single table single row,0.8,0.8889,0.7273,1.0,1.0,1.0,9
two tables single join,0.6154,0.7273,0.5,0.25,0.25,0.1429,12
three tables two join,0.7857,0.7857,0.6471,0.5,0.4483,0.3095,10
two tables single join multiple rows,1.0,0.9714,0.9714,0.6087,0.5864,0.4259,8
single table multiple rows,1.0,1.0,1.0,1.0,0.9649,0.9649,10
