question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl
single table multiple rows,1.0,0.9643,0.9643,0.4000000000000001,0.1321,0.1102
single table single row,0.12120000000000002,0.4444000000000001,0.1053,0.5,0.3333,0.25
three tables two join,0.75,0.6429,0.5294,0.0,0.0,0.0
two tables single join,0.4000000000000001,0.7273,0.34780000000000005,0.0,0.0,0.0
two tables single join multiple rows,1.0,0.7429,0.7429,0.0,0.0,0.0
