question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl
single table multiple rows,1.0,1.0,1.0,1.0,0.9649,0.9649
single table single row,0.8000,0.8889,0.7273,1.0,1.0,1.0
three tables two join,0.7857,0.7857,0.6471,0.7308,0.6552,0.5476
two tables single join,0.6154,0.7273,0.5,0.3333,0.3333,0.2015
two tables single join multiple rows,1.0,0.9714,0.9714,0.6179,0.5864,0.43033
