question_type,precision_ans,recall_ans,accuracy_ans,precision_expl,recall_expl,accuracy_expl,#questions
single table single row,0.8889,0.8889,0.8,1.0,1.0,1.0,8
two tables single join,0.4545,0.4545,0.2941,0.6,0.6,0.4286,11
three tables two join,0.8571,0.8571,0.75,0.3333,0.3333,0.2,7
two tables single join multiple rows,1.0,1.0,1.0,0.9412,0.9412,0.8889,2
single table multiple rows,1.0,1.0,1.0,1.0,1.0,1.0,2
